item,dari,ke,buy,sell,spread,spread_%
T7_2H_CROSSBOW,Lymhurst,Caerleon,250,159994,159744,63897.6
T7_CAPE,Thetford,Caerleon,299,99985,99686,33339.8
T7_CAPE,Thetford,Caerleon,299,83999,83700,27993.31
T7_CAPE,Thetford,Caerleon,299,79983,79684,26650.17
T7_CAPE,Thetford,Caerleon,299,68997,68698,22975.92
T6_BAG,Lymhurst,Black Market,292,49697,49405,16919.52
T6_BAG,Lymhurst,Black Market,292,49381,49089,16811.3
T6_BAG,Lymhurst,Black Market,292,49296,49004,16782.19
T6_BAG,Lymhurst,Black Market,292,49283,48991,16777.74
T6_BAG,Lymhurst,Black Market,292,49283,48991,16777.74
T7_CAPE,Thetford,Lymhurst,299,49995,49696,16620.74
T7_CAPE,Thetford,Lymhurst,299,48976,48677,16279.93
T7_CAPE,Thetford,Lymhurst,299,45670,45371,15174.25
T5_BAG,Lymhurst,Black Market,250,18785,18535,7414.0
T5_BAG,Lymhurst,Black Market,250,18783,18533,7413.2
T5_BAG,Lymhurst,Black Market,250,18781,18531,7412.4
T5_BAG,Lymhurst,Black Market,250,18780,18530,7412.0
T4_BAG,Martlock,Lymhurst,363,14995,14632,4030.85
T4_BAG,Martlock,Caerleon,363,8298,7935,2185.95
T4_BAG,Martlock,Caerleon,363,7165,6802,1873.83
T4_BAG,Martlock,Lymhurst,363,5899,5536,1525.07
T4_BAG,Martlock,Black Market,363,5306,4943,1361.71
T4_BAG,Martlock,Black Market,363,5299,4936,1359.78
T4_BAG,Martlock,Black Market,363,5298,4935,1359.5
T4_BAG,Martlock,Lymhurst,363,4893,4530,1247.93
T4_BAG,Martlock,Lymhurst,363,4893,4530,1247.93
T4_BAG,Martlock,Lymhurst,363,4556,4193,1155.1
T4_BAG,Caerleon,Lymhurst,1500,14995,13495,899.67
T4_BAG,Martlock,Thetford,363,3288,2925,805.79
T4_BAG,Martlock,Thetford,363,3288,2925,805.79
T4_BAG,Martlock,Thetford,363,3276,2913,802.48
T4_BAG,Caerleon,Lymhurst,3019,14995,11976,396.69
T4_BAG,Caerleon,Lymhurst,1500,5899,4399,293.27
T4_BAG,Caerleon,Black Market,1500,5306,3806,253.73
T4_BAG,Caerleon,Black Market,1500,5299,3799,253.27
T4_BAG,Caerleon,Black Market,1500,5298,3798,253.2
T4_BAG,Caerleon,Lymhurst,1500,4893,3393,226.2
T4_BAG,Caerleon,Lymhurst,1500,4893,3393,226.2
T4_BAG,Caerleon,Martlock,1500,4657,3157,210.47
T4_BAG,Caerleon,Lymhurst,1500,4556,3056,203.73
T4_BAG,Caerleon,Martlock,1500,4477,2977,198.47
T4_BAG,Caerleon,Martlock,1500,3500,2000,133.33
T4_BAG,Caerleon,Thetford,1500,3288,1788,119.2
T4_BAG,Caerleon,Thetford,1500,3288,1788,119.2
T4_BAG,Caerleon,Thetford,1500,3276,1776,118.4
T4_BAG,Caerleon,Lymhurst,3019,5899,2880,95.4
T4_BAG,Caerleon,Black Market,3019,5306,2287,75.75
T4_BAG,Caerleon,Black Market,3019,5299,2280,75.52
T4_BAG,Caerleon,Black Market,3019,5298,2279,75.49
T4_BAG,Caerleon,Lymhurst,3019,4893,1874,62.07
T4_BAG,Caerleon,Lymhurst,3019,4893,1874,62.07
T4_BAG,Caerleon,Martlock,3019,4657,1638,54.26
T4_BAG,Caerleon,Lymhurst,3019,4556,1537,50.91
T7_ARMOR_LEATHER_SET3,Martlock,Caerleon,110063,163998,53935,49.0
T4_BAG,Caerleon,Martlock,3019,4477,1458,48.29
T7_2H_CROSSBOW,Lymhurst,Caerleon,111268,159994,48726,43.79
T7_2H_CROSSBOW,Lymhurst,Caerleon,111267,159994,48727,43.79
T7_ARMOR_LEATHER_SET3,Martlock,Caerleon,110063,158000,47937,43.55
T7_ARMOR_LEATHER_SET3,Martlock,Caerleon,116300,163998,47698,41.01
T7_ARMOR_LEATHER_SET3,Martlock,Caerleon,116957,163998,47041,40.22
T6_BAG,Lymhurst,Black Market,35513,49697,14184,39.94
T6_BAG,Lymhurst,Black Market,35550,49697,14147,39.79
T6_BAG,Lymhurst,Black Market,35513,49381,13868,39.05
T6_BAG,Lymhurst,Black Market,35550,49381,13831,38.91
T6_BAG,Lymhurst,Black Market,35513,49296,13783,38.81
T6_BAG,Lymhurst,Black Market,35513,49283,13770,38.77
T6_BAG,Lymhurst,Black Market,35513,49283,13770,38.77
T6_BAG,Lymhurst,Black Market,35550,49296,13746,38.67
T6_BAG,Lymhurst,Black Market,35550,49283,13733,38.63
T6_BAG,Lymhurst,Black Market,35550,49283,13733,38.63
T7_ARMOR_LEATHER_SET3,Martlock,Caerleon,110063,150000,39937,36.29
T7_ARMOR_LEATHER_SET3,Martlock,Caerleon,110063,149997,39934,36.28
T7_ARMOR_LEATHER_SET3,Martlock,Caerleon,116300,158000,41700,35.86
T7_ARMOR_LEATHER_SET3,Martlock,Caerleon,116957,158000,41043,35.09
T7_ARMOR_LEATHER_SET3,Martlock,Caerleon,116300,150000,33700,28.98
T7_ARMOR_LEATHER_SET3,Martlock,Caerleon,116300,149997,33697,28.97
T7_ARMOR_LEATHER_SET3,Martlock,Caerleon,116957,149997,33040,28.25
T7_ARMOR_LEATHER_SET3,Martlock,Caerleon,116957,150000,33043,28.25
T7_ARMOR_LEATHER_SET3,Martlock,Black Market,110063,129992,19929,18.11
T7_ARMOR_LEATHER_SET3,Martlock,Black Market,110063,129967,19904,18.08
T7_ARMOR_LEATHER_SET3,Martlock,Black Market,110063,129886,19823,18.01
T4_BAG,Caerleon,Martlock,3019,3500,481,15.93
T7_ARMOR_LEATHER_SET3,Martlock,Black Market,116300,129992,13692,11.77
T7_ARMOR_LEATHER_SET3,Martlock,Black Market,116300,129967,13667,11.75
T7_ARMOR_LEATHER_SET3,Martlock,Black Market,116300,129886,13586,11.68
T7_ARMOR_LEATHER_SET3,Martlock,Black Market,116957,129992,13035,11.15
T7_ARMOR_LEATHER_SET3,Martlock,Black Market,116957,129967,13010,11.12
T7_ARMOR_LEATHER_SET3,Martlock,Black Market,116957,129886,12929,11.05
T7_ARMOR_LEATHER_SET3,Martlock,Lymhurst,110063,122219,12156,11.04
T4_BAG,Caerleon,Thetford,3019,3288,269,8.91
T4_BAG,Caerleon,Thetford,3019,3288,269,8.91
T4_BAG,Caerleon,Thetford,3019,3276,257,8.51
T7_ARMOR_LEATHER_SET3,Martlock,Lymhurst,110063,117882,7819,7.1
T7_ARMOR_LEATHER_SET3,Martlock,Lymhurst,116300,122219,5919,5.09
T7_ARMOR_LEATHER_SET3,Martlock,Lymhurst,116957,122219,5262,4.5
T7_ARMOR_LEATHER_SET3,Martlock,Lymhurst,116300,117882,1582,1.36
T7_ARMOR_LEATHER_SET3,Martlock,Lymhurst,116957,117882,925,0.79
